Country / Region,Disease,Denominator,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Cuba,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,1.1,1.6,1.1,1.1,11.6,83.4,325.2,284.6,330.5,329.3,"2,354.9","1,857.5",398.4
Cyprus,Measles,"per 1,000,000 total population",0.8,5,12.6,2.5,0,0,8.7,0,0.9,0,16.2,0,0.9,0,0,1,0,0,0,,0,0,1.1,1.1,63,0,0,0,25,1.3,5.2,0,0,0,1.4,1.4,4.3,263.7,39,4.4,0
Czechia,Measles,"per 1,000,000 total population",0.4,55.2,19.4,13.3,0.7,0.8,21,1.4,2.1,1.6,0,0.5,0.2,0.2,0.7,0,1.7,2.9,0.4,0.6,0.9,0.2,1.8,1.4,1,0.5,0.9,1.4,40.2,81.1,234,,,,,,,,,,
Côte d'Ivoire,Measles,"per 1,000,000 total population",22.7,14.5,18.1,6.7,1.9,2.8,2.2,2.2,6.4,29.9,21.5,9.1,0.6,0.3,0.6,6.3,192.9,271,341.4,343.6,348.2,300.9,788.3,638.8,"1,422.3","2,115.5",,562.5,"1,152.4",801,"1,492.6","1,622.3","1,520","3,194","2,312.8",896.5,623.9,780.7,"1,780.4","1,761.1",950.1
Democratic People's Republic of Korea,Measles,"per 1,000,000 total population",0,,0,0,0,0,0.1,0,0,0,0,0,0.3,146.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Measles,"per 1,000,000 total population",918.8,"3,837",829,554.1,64.6,65.8,457,"1,238.5","1,043.6","2,004.4",83.7,0.9,206.3,950.8,"1,416.2","3,330.9",846.7,426.9,610.9,166.7,175.8,264.3,340.5,131.6,223.3,130.9,312.3,70.8,1.7,,131.9,334,407.3,471.5,633.2,652.9,391,741.3,"1,110.3","1,410.6","1,236.6"
Denmark,Measles,"per 1,000,000 total population",0.7,2.6,1.4,0.7,0.5,1.6,4.8,3,0.4,15,0.9,1.1,2.5,0.4,5,0.4,0,0,6,2.1,2.6,,,11.6,22.6,3.8,6.9,22.2,24.9,31.4,35,78.9,120.6,"1,224.9","4,592.7","2,578.5","4,141.5","6,493.1","3,055.8","6,955.9","5,513.1"
Djibouti,Measles,"per 1,000,000 total population",,,29.2,3.2,8.6,51.4,,31.7,816.7,57.4,8.3,58,175.2,29.8,61.7,380.5,92,48.7,66.9,107.8,255,487.2,291,,637,12.7,,59.8,209.7,21.4,176.2,869,894.1,106.1,,253.8,"3,189.5",,80.5,"12,090",
Dominica,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3,184.6,127.3,140.4,"1,141.4",620.4,874.2,"2,545.8",13.4,26.7,358.5,0
Dominican Republic,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,13.1,29.9,32.8,1.7,0.1,0,0,0.4,614.5,"1,032.6","1,033.2",487.4,215.1,100.8,74.1,75.9,683.3,699.5,477.4,605,574.5,"1,681.6"
Ecuador,Measles,"per 1,000,000 total population",0,0,1.1,0,0.1,0,0,0,4.7,16.9,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,3.6,80.2,327.3,330.9,406.5,151.3,160.9,365.2,820.5,161.4,90.3,130.5,789.2,296.4,195.9,570.7,340.7
